filename,fwhm_L,fwhm_C,fwhm_R,sharpness_C,symmetry_err
10.1.png,74.37,58.55,55.43,0.23,2.67
11.1.png,39.96,39.73,30.07,0.44,110.08
12.1.png,64.53,32.09,34.71,0.42,1.08
13.1.png,38.29,27.23,28.82,0.27,1.28
14.1.png,40.37,34.01,26.4,0.69,0.77
15.1.png,36.74,38.74,41.24,0.76,1.91
16.1.png,53.74,46.28,24.51,0.45,1.34
17.1.png,36.72,45.62,20.57,0.54,1.17
18.1.png,59.72,47.21,30.95,0.52,109.76
19.1.png,88.47,50.96,35.73,0.58,1.47
20.1.png,41.84,49.63,21.98,0.44,0.89
21.1.png,74.69,42.23,32.37,0.61,0.05
23.1.png,47.28,50.63,22.89,0.45,2.47
24.1.png,36.16,35.91,17.31,0.35,1.7
25.1.png,61.56,39.44,20.0,0.38,2.05
26.1.png,54.07,40.13,26.98,0.43,5.56
28.1.png,57.94,29.53,21.96,0.37,1.45
